Category ID;Active (0/1);Name *;Parent category;Root category (0/1);Description;Meta title;Meta keywords;Meta description;URL rewritten;Image URL
3;1;Laptopy;Strona główna;0;;;;;;
4;1;Monitory;Strona główna;0;;;;;;
5;1;Akcesoria komputerowe;Strona główna;0;;;;;;
6;1;Gniazda blatowe;Strona główna;0;;;;;;
7;1;Przedłużacze;Strona główna;0;;;;;;
8;1;Stabilizatory napięcia;Strona główna;0;;;;;;
9;1;Baterie i akumulatorki;Strona główna;0;;;;;;
10;1;Ładowarki do akumulatorków;Strona główna;0;;;;;;
11;1;Rozgałęźniki;Strona główna;0;;;;;;
12;1;Głośniki komputerowe;Strona główna;0;;;;;;
