ID;Aktywny (0 lub 1);Nazwa*;Kategorie (x,y,z...);Cena zawiera podatek. (brutto);ID reguły podatku;W sprzedaży (0 lub 1);Ilość;Podsumowanie;Opis;Etykieta, gdy w magazynie;Pokaż cenę (0 = Nie, 1 = Tak);Adresy URL zdjęcia (x,y,z...);Usuń istniejące zdjęcia (0 = Nie, 1 = Tak);Cecha(Nazwa:Wartość:Pozycja:Indywidualne);Dostępne tylko online (0 = Nie, 1 = Tak);Stan;Konfigurowalny (0 = Nie, 1 = Tak);Można wgrywać pliki (0 = Nie, 1 = Tak);Pola tekstowe (0 = Nie, 1 = Tak);Wirtualny produkt (0 = No, 1 = Yes);Przepisany URL
50;1;Laptop Lenovo V15 G2 ITL (82KB00NHPB);3;2899;1;0;10;Podsumowanie;Opis;W magazynie;1;https://images.morele.net/i300/9292349_0_i300.jpg;1;dysk hdd:Brak:1,typ pamięci:Nie dotyczy:2,thunderbolt:Brak:3,usb-c:1:4,czas pracy na baterii:5.5 h:5,głębokość [cm]:23.5:6,powłoka matrycy:Matowa:7,modem internetowy:Nie:8,pojemność akumulatora:38 Wh:9,wifi:802.11ac (gen. 5):10,szerokość [cm]:35.9:11,kolor:Czarny:12,typ matrycy:TN:13,częstotliwość odświeżania:60 Hz:14,usb 3.0:1:15,dodatkowe urządzenia wskazujące:Brak:16,klawiatura:Pełnowymiarowa Wyspowa:17,typ:Laptop:18,rodzina procesora:Intel Core i5:19,dysk ssd m.2 pcie:512 GB:20,zintegrowany układ graficzny:Intel Iris Xe:21,złącza audio:1:22,usb 2.0:1:23,dedykowany układ graficzny:Brak:24,bluetooth:Tak:25,podświetlana klawiatura:Nie:26,waga [kg]:1.7:27,procesor:Intel Core i5-1135G7:28,dysk ssd:Brak:29,pamięć karty graficznej:Współdzielona z RAM:30,przekątna ekranu:15.6":31,złącze displayport:Brak:32,wysokość [cm]:1.99:33,dysk ssd m.2:Brak:34,napędy:Brak:35,rozdzielczość:1920 x 1080 (Full HD):36,złącze hdmi:Pełnowymiarowe:37,producent:Lenovo:38,pamięć ram (maksymalna):16 GB:39,karta sieciowa:1 Gb/s:40,system operacyjny:Windows 11 Pro:41,ilość gniazd pamięci (ogółem/wolne):1/1:42,rozpoznawanie twarzy:Nie:43,ean:0196118370194:44,zastosowanie:Biznesowe:45,pamięć ram (zainstalowana):8 GB:46,czytnik kart pamięci:Nie:47,kamera:Tak:48,szyfrowanie tpm:Tak:49,taktowanie procesora (bazowe/turbo):2.4 GHz / 4.2 GHz:50,liczba rdzeni / wątków:4/8:51,częstotliwość pamięci:3200 MHz:52,złącze d-sub:Brak:53,gniazdo linki zabezpieczającej:Tak:54,kod producenta:82KB00NHPB:55,rodzaj ekranu:Bez ekranu dotykowego:56,czytnik linii papilarnych:Nie:57,typ pamięci ram:DDR4:58,wersja językowa:polska:59;0;new;0;0;0;0;Laptop_Lenovo_V15_G2_ITL_(82KB00NHPB)
51;1;Laptop Gigabyte G5 KD-52EE123SD;3;4699;1;0;10;Podsumowanie;Opis;W magazynie;1;https://images.morele.net/i300/9692611_0_i300.jpg;1;typ pamięci:GDDR6:1,usb-c:1:2,modem internetowy:Nie:3,ilość gniazd pamięci (ogółem/wolne):2/0:4,podświetlana klawiatura:Tak:5,typ:Laptop:6,procesor:Intel Core i5-11400H:7,dysk ssd m.2:Brak:8,thunderbolt:Brak:9,karta sieciowa:1 Gb/s:10,system operacyjny:Brak:11,rozpoznawanie twarzy:Nie:12,waga [kg]:2.2:13,producent:Gigabyte:14,pamięć ram (maksymalna):64 GB:15,typ pamięci ram:DDR4:16,przekątna ekranu:15.6":17,usb 2.0:1:18,czytnik linii papilarnych:Nie:19,szyfrowanie tpm:Tak:20,kolor:Czarny:21,dedykowany układ graficzny:NVIDIA GeForce RTX 3060 Laptop GPU:22,czytnik kart pamięci:Tak:23,wysokość [cm]:2.7:24,zastosowanie:Gamingowe:25,wifi:802.11ax (gen. 6):26,wersja językowa:Brak:27,kod producenta:G5 KD-52EE123SD:28,ean:4719331827663:29,napędy:Brak:30,pojemność akumulatora:49 Wh:31,czas pracy na baterii:6 h:32,typ matrycy:IPS:33,dysk ssd:Brak:34,pamięć karty graficznej:6 GB:35,częstotliwość odświeżania:144 Hz:36,złącze displayport:Mini:37,kamera:Tak:38,szerokość [cm]:36.1:39,liczba rdzeni / wątków:6/12:40,pamięć ram (zainstalowana):16 GB:41,dysk ssd m.2 pcie:512 GB:42,głębokość [cm]:25.8:43,częstotliwość pamięci:3200 MHz:44,usb 3.0:2:45,bluetooth:Tak:46,rodzina procesora:Intel Core i5:47,zintegrowany układ graficzny:Intel UHD Graphics 630:48,dysk hdd:Brak:49,klawiatura:Pełnowymiarowa Wyspowa:50,taktowanie procesora (bazowe/turbo):2.7 GHz / 4.5 GHz:51,rodzaj ekranu:Bez ekranu dotykowego:52,powłoka matrycy:Matowa:53,złącze d-sub:Brak:54,dodatkowe urządzenia wskazujące:Brak:55,mgp:105 W:56,rozdzielczość:1920 x 1080 (Full HD):57,złącze hdmi:Pełnowymiarowe:58,złącza audio:2:59,gniazdo linki zabezpieczającej:Tak:60;0;new;0;0;0;0;Laptop_Gigabyte_G5_KD-52EE123SD
52;1;Laptop Asus VivoBook 15 X515EA (X515EA-EJ1197W);3;1898.80;1;0;10;Podsumowanie;Opis;W magazynie;1;https://images.morele.net/i300/11006502_0_i300.jpg;1;częstotliwość odświeżania:60 Hz:1,czytnik kart pamięci:Nie:2,rozpoznawanie twarzy:Nie:3,głębokość [cm]:23.5:4,typ matrycy:IPS:5,modem internetowy:Nie:6,podświetlana klawiatura:Nie:7,typ:Laptop:8,typ pamięci ram:DDR4:9,częstotliwość pamięci:3200 MHz:10,system operacyjny:Windows 11 S:11,producent:Asus:12,czas pracy na baterii:Brak danych:13,thunderbolt:Brak:14,kolor:Szary:15,pamięć ram (maksymalna):Brak danych:16,rozdzielczość:1920 x 1080 (Full HD):17,kamera:Tak:18,szyfrowanie tpm:Tak:19,waga [kg]:1.8:20,kod producenta:90NB0TY1-M01K10:21,dysk ssd m.2 pcie:256 GB:22,złącze d-sub:Brak:23,rodzaj ekranu:Bez ekranu dotykowego:24,pojemność akumulatora:37 Wh:25,dysk hdd:Brak:26,liczba rdzeni / wątków:2/4:27,ilość gniazd pamięci (ogółem/wolne):Brak danych:28,napędy:Brak:29,usb 3.0:1:30,gniazdo linki zabezpieczającej:Tak:31,zastosowanie:Multimedialne:32,zintegrowany układ graficzny:Intel UHD Graphics Xe G4:33,dedykowany układ graficzny:Brak:34,przekątna ekranu:15.6":35,usb 2.0:2:36,dodatkowe urządzenia wskazujące:Brak:37,klawiatura:Pełnowymiarowa Wyspowa:38,dysk ssd:Brak:39,rodzina procesora:Intel Core i3:40,taktowanie procesora (bazowe/turbo):3.0 GHz / 4.1 GHz:41,dysk ssd m.2:Brak:42,powłoka matrycy:Matowa:43,złącza audio:1:44,ean:4711081775768:45,wersja językowa:polska:46,wifi:802.11ac (gen. 5):47,pamięć karty graficznej:Współdzielona z RAM:48,złącze hdmi:Pełnowymiarowe:49,złącze displayport:Brak:50,usb-c:1:51,czytnik linii papilarnych:Nie:52,wysokość [cm]:1.99:53,szerokość [cm]:36:54,procesor:Intel Core i3-1115G4:55,typ pamięci:Nie dotyczy:56,karta sieciowa:Nie:57,bluetooth:Tak:58,pamięć ram (zainstalowana):8 GB:59;0;new;0;0;0;0;Laptop_Asus_VivoBook_15_X515EA_(X515EA-EJ1197W)
53;1;Laptop LG Gram 15 2022 (15Z90Q-G.AA55Y);3;8365.99;1;0;10;Podsumowanie;Opis;W magazynie;1;https://images.morele.net/i300/10590011_0_i300.jpg;1;procesor:Intel Core i5-1240P:1,podświetlana klawiatura:Tak:2,częstotliwość pamięci:5200 MHz:3,typ pamięci:Nie dotyczy:4,usb 2.0:Brak:5,gniazdo linki zabezpieczającej:Tak:6,przekątna ekranu:15.6":7,rozpoznawanie twarzy:Tak:8,szyfrowanie tpm:Tak:9,rozdzielczość:1920 x 1080 (Full HD):10,złącza audio:1:11,zintegrowany układ graficzny:Intel Iris Xe:12,usb 3.0:2:13,modem internetowy:Nie:14,rodzaj ekranu:Bez ekranu dotykowego:15,karta sieciowa:Nie:16,bluetooth:Tak:17,częstotliwość odświeżania:60 Hz:18,złącze displayport:Brak:19,thunderbolt:2:20,wersja językowa:polska:21,wysokość [cm]:1.74:22,typ:Laptop:23,liczba rdzeni / wątków:12/16:24,pamięć ram (zainstalowana):16 GB:25,czas pracy na baterii:17.5 h:26,kod producenta:15Z90Q-G.AA55Y:27,czytnik kart pamięci:Tak:28,szerokość [cm]:35.6:29,waga [kg]:1.14:30,rodzina procesora:Intel Core i5:31,powłoka matrycy:Matowa:32,złącze hdmi:Pełnowymiarowe:33,głębokość [cm]:22.3:34,czytnik linii papilarnych:Nie:35,producent:LG:36,zastosowanie:Multimedialne:37,dysk ssd m.2:Brak:38,dysk ssd m.2 pcie:512 GB:39,typ matrycy:IPS:40,kamera:Tak:41,typ pamięci ram:DDR5L:42,ilość gniazd pamięci (ogółem/wolne):0/0:43,ean:8806091771469:44,dysk ssd:Brak:45,dedykowany układ graficzny:Brak:46,złącze d-sub:Brak:47,dodatkowe urządzenia wskazujące:Brak:48,klawiatura:Pełnowymiarowa Wyspowa:49,taktowanie procesora (bazowe/turbo):1.2 GHz / 4.4 GHz:50,pamięć ram (maksymalna):16 GB:51,napędy:Brak:52,pamięć karty graficznej:Współdzielona z RAM:53,system operacyjny:Windows 11 Home:54,kolor:Czarny:55,dysk hdd:Brak:56,usb-c:Brak:57,wifi:802.11ax (gen. 6):58,pojemność akumulatora:80 Wh:59;0;new;0;0;0;0;Laptop_LG_Gram_15_2022_(15Z90Q-G.AA55Y)
54;1;Laptop Lenovo V15 G2 (82KB016JPB);3;2249;1;0;10;Podsumowanie;Opis;W magazynie;1;https://images.morele.net/i300/11005522_0_i300.jpg;1;czas pracy na baterii:5.5 h:1,podświetlana klawiatura:Nie:2,rozdzielczość:1920 x 1080 (Full HD):3,typ:Laptop:4,dedykowany układ graficzny:Brak:5,pamięć karty graficznej:Współdzielona z RAM:6,rodzaj ekranu:Bez ekranu dotykowego:7,czytnik kart pamięci:Nie:8,napędy:Brak:9,rozpoznawanie twarzy:Nie:10,typ pamięci ram:DDR4:11,zintegrowany układ graficzny:Intel UHD Graphics Xe G4:12,złącze d-sub:Brak:13,czytnik linii papilarnych:Nie:14,gniazdo linki zabezpieczającej:Tak:15,ilość gniazd pamięci (ogółem/wolne):2/0:16,liczba rdzeni / wątków:2/4:17,dysk ssd:Brak:18,usb-c:1:19,klawiatura:Pełnowymiarowa Wyspowa:20,procesor:Intel Core i3-1115G4:21,kamera:Tak:22,przekątna ekranu:15.6":23,szyfrowanie tpm:Tak:24,szerokość [cm]:35.92:25,thunderbolt:Brak:26,kolor:Srebrny:27,rodzina procesora:Intel Core i3:28,częstotliwość pamięci:3200 MHz:29,powłoka matrycy:Matowa:30,usb 3.0:1:31,bluetooth:Tak:32,pojemność akumulatora:38 Wh:33,producent:Lenovo:34,pamięć ram (maksymalna):12 GB:35,dysk hdd:Brak:36,dysk ssd m.2 pcie:256 GB:37,typ pamięci:Nie dotyczy:38,złącze hdmi:Pełnowymiarowe:39,usb 2.0:1:40,karta sieciowa:1 Gb/s:41,kod producenta:82KB016JPB:42,waga [kg]:1.7:43,wersja językowa:polska:44,typ matrycy:TN:45,modem internetowy:Nie:46,zastosowanie:Multimedialne:47,głębokość [cm]:23.58:48,wysokość [cm]:1.99:49,częstotliwość odświeżania:60 Hz:50,złącze displayport:Brak:51,ean::52,pamięć ram (zainstalowana):8 GB:53,złącza audio:1:54,dodatkowe urządzenia wskazujące:Brak:55,taktowanie procesora (bazowe/turbo):3.0 GHz / 4.1 GHz:56,wifi:802.11ac (gen. 5):57,system operacyjny:Windows 11 Pro:58,dysk ssd m.2:Brak:59;0;new;0;0;0;0;Laptop_Lenovo_V15_G2_(82KB016JPB)
55;1;Laptop Lenovo IdeaPad 3 15ALC6 (82KU00W1PB);3;2099;1;0;10;Podsumowanie;Opis;W magazynie;1;https://images.morele.net/i300/9612895_5_i300.jpg;1;ean:0195891495322:1,pamięć ram (maksymalna):12 GB:2,gniazdo linki zabezpieczającej:Nie:3,głębokość [cm]:23.6:4,taktowanie procesora (bazowe/turbo):2.1 GHz / 4 GHz:5,dysk hdd:Brak:6,klawiatura:Pełnowymiarowa Wyspowa:7,szerokość [cm]:35.9:8,rodzina procesora:AMD Ryzen:9,dedykowany układ graficzny:Brak:10,przekątna ekranu:15.6":11,wersja językowa:Brak:12,kod producenta:82KU00W1PB:13,dysk ssd m.2 pcie:512 GB:14,złącze hdmi:Pełnowymiarowe:15,złącze displayport:Brak:16,wifi:802.11ac (gen. 5):17,bluetooth:Tak:18,kolor:Szary:19,ilość gniazd pamięci (ogółem/wolne):2/0:20,dysk ssd:Brak:21,napędy:Brak:22,rozdzielczość:1920 x 1080 (Full HD):23,pojemność akumulatora:38 Wh:24,system operacyjny:Brak:25,podświetlana klawiatura:Nie:26,waga [kg]:1.65:27,producent:Lenovo:28,typ pamięci:Nie dotyczy:29,karta sieciowa:Nie:30,dodatkowe urządzenia wskazujące:Brak:31,pamięć karty graficznej:Współdzielona z RAM:32,typ:Laptop:33,dysk ssd m.2:Brak:34,złącze d-sub:Brak:35,powłoka matrycy:Matowa:36,usb-c:1:37,rozpoznawanie twarzy:Nie:38,liczba rdzeni / wątków:6/12:39,pamięć ram (zainstalowana):8 GB:40,szyfrowanie tpm:Tak:41,wysokość [cm]:1.99:42,częstotliwość odświeżania:60 Hz:43,czytnik kart pamięci:Tak:44,czytnik linii papilarnych:Nie:45,typ pamięci ram:DDR4:46,rodzaj ekranu:Bez ekranu dotykowego:47,typ matrycy:IPS:48,usb 3.0:1:49,modem internetowy:Nie:50,czas pracy na baterii:7.5 h:51,procesor:AMD Ryzen 5 5500U:52,zintegrowany układ graficzny:AMD Radeon RX Vega 7:53,złącza audio:1:54,thunderbolt:Brak:55,usb 2.0:1:56,kamera:Tak:57,zastosowanie:Multimedialne:58,częstotliwość pamięci:3200 MHz:59;0;new;0;0;0;0;Laptop_Lenovo_IdeaPad_3_15ALC6_(82KU00W1PB)
56;1;Laptop HP 15s-fq4489nw (685A6EA);3;2799;1;0;10;Podsumowanie;Opis;W magazynie;1;https://images.morele.net/i300/11218744_0_i300.jpg;1;zastosowanie:Multimedialne:1,zintegrowany układ graficzny:Intel Iris Xe:2,złącze d-sub:Brak:3,głębokość [cm]:24.2:4,podświetlana klawiatura:Nie:5,szerokość [cm]:35.8:6,liczba rdzeni / wątków:4/8:7,rozdzielczość:1920 x 1080 (Full HD):8,złącze displayport:Brak:9,bluetooth:Tak:10,klawiatura:Pełnowymiarowa Wyspowa:11,gniazdo linki zabezpieczającej:Nie:12,kolor:Złoty:13,rodzina procesora:Intel Core i5:14,pamięć ram (maksymalna):32 GB:15,powłoka matrycy:Matowa:16,thunderbolt:Brak:17,system operacyjny:Windows 11 Home:18,szyfrowanie tpm:Tak:19,kod producenta:685A6EA:20,dysk ssd:Brak:21,dysk ssd m.2:Brak:22,czas pracy na baterii:9.5 h:23,wersja językowa:polska:24,typ:Laptop:25,częstotliwość pamięci:3200 MHz:26,przekątna ekranu:15.6":27,wifi:802.11ac (gen. 5):28,ilość gniazd pamięci (ogółem/wolne):2/0:29,napędy:Brak:30,częstotliwość odświeżania:60 Hz:31,waga [kg]:1.69:32,ean::33,dysk hdd:Brak:34,usb 3.0:2:35,kamera:Tak:36,wysokość [cm]:1.79:37,usb 2.0:Brak:38,pojemność akumulatora:41 Wh:39,typ matrycy:IPS:40,usb-c:1:41,procesor:Intel Core i5-1155G7:42,pamięć ram (zainstalowana):8 GB:43,rodzaj ekranu:Bez ekranu dotykowego:44,modem internetowy:Nie:45,typ pamięci:Nie dotyczy:46,złącze hdmi:Pełnowymiarowe:47,dodatkowe urządzenia wskazujące:Brak:48,czytnik linii papilarnych:Nie:49,złącza audio:1:50,karta sieciowa:Nie:51,rozpoznawanie twarzy:Nie:52,producent:HP:53,taktowanie procesora (bazowe/turbo):2.5 GHz / 4.5 GHz:54,typ pamięci ram:DDR4:55,dysk ssd m.2 pcie:512 GB:56,dedykowany układ graficzny:Brak:57,pamięć karty graficznej:Współdzielona z RAM:58,czytnik kart pamięci:Tak:59;0;new;0;0;0;0;Laptop_HP_15s-fq4489nw_(685A6EA)
57;1;Laptop HP 250 G9 (6F200EA);3;2299;1;0;10;Podsumowanie;Opis;W magazynie;1;https://images.morele.net/i300/11202027_0_i300.jpg;1;rodzaj ekranu:Bez ekranu dotykowego:1,złącze displayport:Brak:2,wersja językowa:polska:3,producent:HP:4,rodzina procesora:Intel Core i3:5,złącza audio:1:6,typ pamięci ram:DDR4:7,typ pamięci:Nie dotyczy:8,czytnik kart pamięci:Tak:9,głębokość [cm]:24.2:10,złącze hdmi:Pełnowymiarowe:11,thunderbolt:Brak:12,wysokość [cm]:1.99:13,waga [kg]:1.74:14,częstotliwość pamięci:3200 MHz:15,dodatkowe urządzenia wskazujące:Brak:16,częstotliwość odświeżania:60 Hz:17,kolor:Czarny:18,pamięć ram (zainstalowana):8 GB:19,procesor:Intel Core i3-1215U:20,kamera:Tak:21,napędy:Brak:22,bluetooth:Tak:23,typ:Laptop:24,dysk ssd m.2 pcie:256 GB:25,czytnik linii papilarnych:Nie:26,ilość gniazd pamięci (ogółem/wolne):2/1:27,dysk ssd m.2:Brak:28,dysk hdd:Brak:29,usb 2.0:Brak:30,rozdzielczość:1920 x 1080 (Full HD):31,usb 3.0:2:32,karta sieciowa:1 Gb/s:33,liczba rdzeni / wątków:6/8:34,dysk ssd:Brak:35,typ matrycy:SVA:36,rozpoznawanie twarzy:Nie:37,kod producenta:6F200EA#AKD:38,przekątna ekranu:15.6":39,złącze d-sub:Brak:40,czas pracy na baterii:Brak danych:41,system operacyjny:Windows 11 Home:42,podświetlana klawiatura:Nie:43,układ klawiatury:QWERTY polski programisty:44,taktowanie procesora (bazowe/turbo):0.9 GHz / 4.4 GHz:45,zintegrowany układ graficzny:Intel UHD Graphics:46,ean::47,pamięć karty graficznej:Współdzielona z RAM:48,zastosowanie:Biznesowe:49,pamięć ram (maksymalna):32 GB:50,szyfrowanie tpm:Tak:51,szerokość [cm]:35.8:52,modem internetowy:Nie:53,wifi:802.11ac (gen. 5):54,usb-c:1:55,pojemność akumulatora:41 Wh:56,klawiatura:Pełnowymiarowa Wyspowa:57,gniazdo linki zabezpieczającej:Tak:58,dedykowany układ graficzny:Brak:59,powłoka matrycy:Matowa:60;0;new;0;0;0;0;Laptop_HP_250_G9_(6F200EA)
58;1;Laptop Lenovo IdeaPad 5 15ALC05 (82LN00HMPB);3;2349;1;0;10;Podsumowanie;Opis;W magazynie;1;https://images.morele.net/i300/9906893_0_i300.jpg;1;producent:Lenovo:1,złącze hdmi:Pełnowymiarowe:2,zintegrowany układ graficzny:AMD Radeon Graphics:3,rodzaj ekranu:Bez ekranu dotykowego:4,wersja językowa:Brak:5,częstotliwość pamięci:3200 MHz:6,karta sieciowa:Nie:7,czytnik kart pamięci:Tak:8,zastosowanie:Multimedialne:9,thunderbolt:Brak:10,kamera:Tak:11,szyfrowanie tpm:Tak:12,ilość gniazd pamięci (ogółem/wolne):0/0:13,dedykowany układ graficzny:Brak:14,dysk hdd:Brak:15,typ matrycy:IPS:16,rozdzielczość:1920 x 1080 (Full HD):17,powłoka matrycy:Matowa:18,złącze displayport:Brak:19,usb-c:1:20,czas pracy na baterii:8 h:21,rozpoznawanie twarzy:Nie:22,dysk ssd:Brak:23,pamięć karty graficznej:Współdzielona z RAM:24,pamięć ram (maksymalna):8 GB:25,przekątna ekranu:15.6":26,usb 3.0:2:27,pojemność akumulatora:57 Wh:28,klawiatura:Pełnowymiarowa Wyspowa:29,typ:Laptop:30,kolor:Szary:31,pamięć ram (zainstalowana):8 GB:32,wysokość [cm]:1.79 - 1.99:33,rodzina procesora:AMD Ryzen:34,usb 2.0:Brak:35,wifi:802.11ac (gen. 5):36,system operacyjny:Brak:37,liczba rdzeni / wątków:6/12:38,złącza audio:1:39,czytnik linii papilarnych:Tak:40,złącze d-sub:Brak:41,bluetooth:Tak:42,procesor:AMD Ryzen 5 5500U:43,taktowanie procesora (bazowe/turbo):2.1 GHz / 4 GHz:44,typ pamięci:Nie dotyczy:45,modem internetowy:Nie:46,dodatkowe urządzenia wskazujące:Brak:47,szerokość [cm]:35.6:48,kod producenta:82LN00HMPB:49,ean::50,waga [kg]:1.66:51,napędy:Brak:52,typ pamięci ram:DDR4:53,dysk ssd m.2 pcie:512 GB:54,gniazdo linki zabezpieczającej:Nie:55,dysk ssd m.2:Brak:56,podświetlana klawiatura:Tak:57,częstotliwość odświeżania:60 Hz:58,głębokość [cm]:23.3:59;0;new;0;0;0;0;Laptop_Lenovo_IdeaPad_5_15ALC05_(82LN00HMPB)
59;1;Laptop Dell Vostro 3510 (N8803VN3510EMEA01_N1);3;3299;1;0;10;Podsumowanie;Opis;W magazynie;1;https://images.morele.net/i300/10190653_4_i300.jpg;1;dysk ssd m.2 pcie:256 GB:1,typ pamięci:Nie dotyczy:2,zastosowanie:Biznesowe:3,pamięć ram (zainstalowana):8 GB:4,bluetooth:Tak:5,podświetlana klawiatura:Tak:6,kamera:Tak:7,złącze d-sub:Brak:8,złącza audio:1:9,czas pracy na baterii:8 h:10,producent:Dell:11,złącze displayport:Brak:12,system operacyjny:Windows 11 Pro:13,typ:Laptop:14,typ pamięci ram:DDR4:15,dysk hdd:Brak:16,dysk ssd m.2:Brak:17,rozpoznawanie twarzy:Nie:18,procesor:Intel Core i5-1135G7:19,pamięć ram (maksymalna):32 GB:20,szyfrowanie tpm:Tak:21,głębokość [cm]:23.6:22,dedykowany układ graficzny:Brak:23,przekątna ekranu:15.6":24,rodzaj ekranu:Bez ekranu dotykowego:25,pojemność akumulatora:41 Wh:26,klawiatura:Pełnowymiarowa Wyspowa:27,ean:5902002167369:28,kolor:Czarny:29,częstotliwość pamięci:2666 MHz:30,ilość gniazd pamięci (ogółem/wolne):2/1:31,usb 2.0:1:32,wysokość [cm]:1.89:33,powłoka matrycy:Matowa:34,thunderbolt:Brak:35,dodatkowe urządzenia wskazujące:Brak:36,usb-c:Brak:37,czytnik kart pamięci:Tak:38,modem internetowy:Nie:39,liczba rdzeni / wątków:4/8:40,wifi:802.11ax (gen. 6):41,czytnik linii papilarnych:Tak:42,gniazdo linki zabezpieczającej:Tak:43,taktowanie procesora (bazowe/turbo):2.4 GHz / 4.2 GHz:44,napędy:Brak:45,typ matrycy:VA:46,usb 3.0:2:47,szerokość [cm]:35.9:48,kod producenta:N8803VN3510EMEA01_N1:49,pamięć karty graficznej:Współdzielona z RAM:50,waga [kg]:1.69:51,rodzina procesora:Intel Core i5:52,dysk ssd:Brak:53,wersja językowa:polska:54,rozdzielczość:1920 x 1080 (Full HD):55,karta sieciowa:1 Gb/s:56,zintegrowany układ graficzny:Intel Iris Xe:57,częstotliwość odświeżania:60 Hz:58,złącze hdmi:Pełnowymiarowe:59;0;new;0;0;0;0;Laptop_Dell_Vostro_3510_(N8803VN3510EMEA01_N1)
