ID;Aktywny (0 lub 1);Nazwa*;Kategorie (x,y,z...);Cena zawiera podatek. (brutto);ID reguły podatku;W sprzedaży (0 lub 1);Ilość;Podsumowanie;Opis;Etykieta, gdy w magazynie;Pokaż cenę (0 = Nie, 1 = Tak);Adresy URL zdjęcia (x,y,z...);Usuń istniejące zdjęcia (0 = Nie, 1 = Tak);Cecha(Nazwa:Wartość:Pozycja:Indywidualne);Dostępne tylko online (0 = Nie, 1 = Tak);Stan;Konfigurowalny (0 = Nie, 1 = Tak);Można wgrywać pliki (0 = Nie, 1 = Tak);Pola tekstowe (0 = Nie, 1 = Tak);Wirtualny produkt (0 = No, 1 = Yes);Przepisany URL
50;1;Laptop Lenovo V15 G2 ITL (82KB00NHPB);Laptopy;2899;1;0;10;Podsumowanie;Opis;W magazynie;1;https://images.morele.net/i300/9292349_0_i300.jpg;1;producent:Lenovo:1,złącze hdmi:Pełnowymiarowe:2,pamięć ram (zainstalowana):8 GB:3,modem internetowy:Nie:4,czytnik linii papilarnych:Nie:5,waga [kg]:1.7:6,ean:0196118370194:7,kolor:Czarny:8,gniazdo linki zabezpieczającej:Tak:9,dysk ssd m.2 pcie:512 GB:10,typ matrycy:TN:11,dysk ssd:Brak:12,bluetooth:Tak:13,system operacyjny:Windows 11 Pro:14,złącze displayport:Brak:15,wifi:802.11ac (gen. 5):16,usb-c:1:17,wysokość [cm]:1.99:18,typ:Laptop:19,złącza audio:1:20,thunderbolt:Brak:21,podświetlana klawiatura:Nie:22,zastosowanie:Biznesowe:23,rozdzielczość:1920 x 1080 (Full HD):24,dysk hdd:Brak:25,przekątna ekranu:15.6":26,napędy:Brak:27,powłoka matrycy:Matowa:28,pojemność akumulatora:38 Wh:29,procesor:Intel Core i5-1135G7:30,typ pamięci ram:DDR4:31,czytnik kart pamięci:Nie:32,ilość gniazd pamięci (ogółem/wolne):1/1:33,dysk ssd m.2:Brak:34,kamera:Tak:35,szyfrowanie tpm:Tak:36,pamięć karty graficznej:Współdzielona z RAM:37,rodzaj ekranu:Bez ekranu dotykowego:38,złącze d-sub:Brak:39,usb 3.0:1:40,pamięć ram (maksymalna):16 GB:41,częstotliwość pamięci:3200 MHz:42,klawiatura:Pełnowymiarowa Wyspowa:43,typ pamięci:Nie dotyczy:44,dodatkowe urządzenia wskazujące:Brak:45,zintegrowany układ graficzny:Intel Iris Xe:46,dedykowany układ graficzny:Brak:47,częstotliwość odświeżania:60 Hz:48,czas pracy na baterii:5.5 h:49,głębokość [cm]:23.5:50,kod producenta:82KB00NHPB:51,rodzina procesora:Intel Core i5:52,wersja językowa:polska:53,taktowanie procesora (bazowe/turbo):2.4 GHz / 4.2 GHz:54,liczba rdzeni / wątków:4/8:55,rozpoznawanie twarzy:Nie:56,szerokość [cm]:35.9:57,usb 2.0:1:58,karta sieciowa:1 Gb/s:59;0;new;0;0;0;0;Laptop_Lenovo_V15_G2_ITL_(82KB00NHPB)
51;1;Laptop Gigabyte G5 KD-52EE123SD;Laptopy;4699;1;0;10;Podsumowanie;Opis;W magazynie;1;https://images.morele.net/i300/9692611_0_i300.jpg;1;dysk ssd:Brak:1,częstotliwość odświeżania:144 Hz:2,czas pracy na baterii:6 h:3,rodzina procesora:Intel Core i5:4,procesor:Intel Core i5-11400H:5,rodzaj ekranu:Bez ekranu dotykowego:6,karta sieciowa:1 Gb/s:7,dysk ssd m.2 pcie:512 GB:8,powłoka matrycy:Matowa:9,usb 2.0:1:10,kolor:Czarny:11,bluetooth:Tak:12,system operacyjny:Brak:13,ean:4719331827663:14,pamięć ram (zainstalowana):16 GB:15,usb-c:1:16,typ:Laptop:17,szerokość [cm]:36.1:18,kod producenta:G5 KD-52EE123SD:19,mgp:105 W:20,wysokość [cm]:2.7:21,gniazdo linki zabezpieczającej:Tak:22,pamięć ram (maksymalna):64 GB:23,thunderbolt:Brak:24,szyfrowanie tpm:Tak:25,usb 3.0:2:26,wifi:802.11ax (gen. 6):27,podświetlana klawiatura:Tak:28,zastosowanie:Gamingowe:29,dysk ssd m.2:Brak:30,napędy:Brak:31,liczba rdzeni / wątków:6/12:32,typ matrycy:IPS:33,pojemność akumulatora:49 Wh:34,klawiatura:Pełnowymiarowa Wyspowa:35,rozpoznawanie twarzy:Nie:36,producent:Gigabyte:37,taktowanie procesora (bazowe/turbo):2.7 GHz / 4.5 GHz:38,ilość gniazd pamięci (ogółem/wolne):2/0:39,złącze displayport:Mini:40,czytnik linii papilarnych:Nie:41,głębokość [cm]:25.8:42,typ pamięci ram:DDR4:43,dedykowany układ graficzny:NVIDIA GeForce RTX 3060 Laptop GPU:44,przekątna ekranu:15.6":45,dysk hdd:Brak:46,typ pamięci:GDDR6:47,kamera:Tak:48,dodatkowe urządzenia wskazujące:Brak:49,rozdzielczość:1920 x 1080 (Full HD):50,złącze d-sub:Brak:51,modem internetowy:Nie:52,waga [kg]:2.2:53,pamięć karty graficznej:6 GB:54,złącza audio:2:55,czytnik kart pamięci:Tak:56,wersja językowa:Brak:57,częstotliwość pamięci:3200 MHz:58,zintegrowany układ graficzny:Intel UHD Graphics 630:59,złącze hdmi:Pełnowymiarowe:60;0;new;0;0;0;0;Laptop_Gigabyte_G5_KD-52EE123SD
52;1;Laptop Asus VivoBook 15 X515EA (X515EA-EJ1197W);Laptopy;1990.89;1;0;10;Podsumowanie;Opis;W magazynie;1;https://images.morele.net/i300/11006502_0_i300.jpg;1;waga [kg]:1.8:1,rodzina procesora:Intel Core i3:2,taktowanie procesora (bazowe/turbo):3.0 GHz / 4.1 GHz:3,pamięć karty graficznej:Współdzielona z RAM:4,złącze displayport:Brak:5,klawiatura:Pełnowymiarowa Wyspowa:6,podświetlana klawiatura:Nie:7,napędy:Brak:8,system operacyjny:Windows 11 S:9,procesor:Intel Core i3-1115G4:10,częstotliwość pamięci:3200 MHz:11,powłoka matrycy:Matowa:12,częstotliwość odświeżania:60 Hz:13,pamięć ram (zainstalowana):8 GB:14,ilość gniazd pamięci (ogółem/wolne):Brak danych:15,dedykowany układ graficzny:Brak:16,typ pamięci:Nie dotyczy:17,gniazdo linki zabezpieczającej:Tak:18,producent:Asus:19,typ matrycy:IPS:20,usb-c:1:21,wifi:802.11ac (gen. 5):22,wersja językowa:polska:23,wysokość [cm]:1.99:24,typ pamięci ram:DDR4:25,rozdzielczość:1920 x 1080 (Full HD):26,złącze d-sub:Brak:27,modem internetowy:Nie:28,bluetooth:Tak:29,rozpoznawanie twarzy:Nie:30,przekątna ekranu:15.6":31,rodzaj ekranu:Bez ekranu dotykowego:32,usb 2.0:2:33,czas pracy na baterii:Brak danych:34,szerokość [cm]:36:35,dysk hdd:Brak:36,ean:4711081775768:37,dysk ssd m.2 pcie:256 GB:38,typ:Laptop:39,zintegrowany układ graficzny:Intel UHD Graphics Xe G4:40,usb 3.0:1:41,czytnik linii papilarnych:Nie:42,kod producenta:90NB0TY1-M01K10:43,dysk ssd:Brak:44,złącze hdmi:Pełnowymiarowe:45,karta sieciowa:Nie:46,złącza audio:1:47,kamera:Tak:48,liczba rdzeni / wątków:2/4:49,dysk ssd m.2:Brak:50,thunderbolt:Brak:51,pamięć ram (maksymalna):Brak danych:52,czytnik kart pamięci:Nie:53,kolor:Szary:54,szyfrowanie tpm:Tak:55,głębokość [cm]:23.5:56,zastosowanie:Multimedialne:57,pojemność akumulatora:37 Wh:58,dodatkowe urządzenia wskazujące:Brak:59;0;new;0;0;0;0;Laptop_Asus_VivoBook_15_X515EA_(X515EA-EJ1197W)
53;1;Laptop LG Gram 15 2022 (15Z90Q-G.AA55Y);Laptopy;8365.99;1;0;10;Podsumowanie;Opis;W magazynie;1;https://images.morele.net/i300/10590011_0_i300.jpg;1;dysk ssd m.2 pcie:512 GB:1,taktowanie procesora (bazowe/turbo):1.2 GHz / 4.4 GHz:2,pamięć ram (zainstalowana):16 GB:3,wersja językowa:polska:4,wysokość [cm]:1.74:5,częstotliwość pamięci:5200 MHz:6,typ matrycy:IPS:7,dysk ssd:Brak:8,złącze hdmi:Pełnowymiarowe:9,czytnik kart pamięci:Tak:10,modem internetowy:Nie:11,kolor:Czarny:12,dysk hdd:Brak:13,liczba rdzeni / wątków:12/16:14,rozdzielczość:1920 x 1080 (Full HD):15,karta sieciowa:Nie:16,wifi:802.11ax (gen. 6):17,pojemność akumulatora:80 Wh:18,gniazdo linki zabezpieczającej:Tak:19,przekątna ekranu:15.6":20,usb 3.0:2:21,rodzina procesora:Intel Core i5:22,powłoka matrycy:Matowa:23,typ pamięci ram:DDR5L:24,bluetooth:Tak:25,waga [kg]:1.14:26,producent:LG:27,pamięć ram (maksymalna):16 GB:28,typ:Laptop:29,kamera:Tak:30,thunderbolt:2:31,system operacyjny:Windows 11 Home:32,napędy:Brak:33,typ pamięci:Nie dotyczy:34,dedykowany układ graficzny:Brak:35,złącze d-sub:Brak:36,dodatkowe urządzenia wskazujące:Brak:37,rozpoznawanie twarzy:Tak:38,szyfrowanie tpm:Tak:39,kod producenta:15Z90Q-G.AA55Y:40,ilość gniazd pamięci (ogółem/wolne):0/0:41,dysk ssd m.2:Brak:42,czas pracy na baterii:17.5 h:43,podświetlana klawiatura:Tak:44,procesor:Intel Core i5-1240P:45,klawiatura:Pełnowymiarowa Wyspowa:46,czytnik linii papilarnych:Nie:47,ean:8806091771469:48,usb 2.0:Brak:49,częstotliwość odświeżania:60 Hz:50,złącza audio:1:51,zastosowanie:Multimedialne:52,pamięć karty graficznej:Współdzielona z RAM:53,szerokość [cm]:35.6:54,rodzaj ekranu:Bez ekranu dotykowego:55,złącze displayport:Brak:56,głębokość [cm]:22.3:57,zintegrowany układ graficzny:Intel Iris Xe:58,usb-c:Brak:59;0;new;0;0;0;0;Laptop_LG_Gram_15_2022_(15Z90Q-G.AA55Y)
54;1;Laptop Lenovo V15 G2 (82KB016JPB);Laptopy;2249;1;0;10;Podsumowanie;Opis;W magazynie;1;https://images.morele.net/i300/11005522_0_i300.jpg;1;taktowanie procesora (bazowe/turbo):3.0 GHz / 4.1 GHz:1,szyfrowanie tpm:Tak:2,typ:Laptop:3,dedykowany układ graficzny:Brak:4,złącze displayport:Brak:5,system operacyjny:Windows 11 Pro:6,podświetlana klawiatura:Nie:7,usb 2.0:1:8,wersja językowa:polska:9,klawiatura:Pełnowymiarowa Wyspowa:10,liczba rdzeni / wątków:2/4:11,pamięć ram (maksymalna):12 GB:12,pamięć karty graficznej:Współdzielona z RAM:13,powłoka matrycy:Matowa:14,czytnik kart pamięci:Nie:15,wysokość [cm]:1.99:16,szerokość [cm]:35.92:17,czytnik linii papilarnych:Nie:18,kod producenta:82KB016JPB:19,dysk ssd:Brak:20,dysk ssd m.2 pcie:256 GB:21,rozdzielczość:1920 x 1080 (Full HD):22,usb 3.0:1:23,pojemność akumulatora:38 Wh:24,ean::25,częstotliwość odświeżania:60 Hz:26,usb-c:1:27,producent:Lenovo:28,zastosowanie:Multimedialne:29,wifi:802.11ac (gen. 5):30,głębokość [cm]:23.58:31,typ pamięci:Nie dotyczy:32,modem internetowy:Nie:33,czas pracy na baterii:5.5 h:34,dodatkowe urządzenia wskazujące:Brak:35,rozpoznawanie twarzy:Nie:36,ilość gniazd pamięci (ogółem/wolne):2/0:37,zintegrowany układ graficzny:Intel UHD Graphics Xe G4:38,przekątna ekranu:15.6":39,karta sieciowa:1 Gb/s:40,bluetooth:Tak:41,złącza audio:1:42,rodzina procesora:Intel Core i3:43,typ pamięci ram:DDR4:44,typ matrycy:TN:45,waga [kg]:1.7:46,kolor:Srebrny:47,dysk hdd:Brak:48,złącze hdmi:Pełnowymiarowe:49,thunderbolt:Brak:50,kamera:Tak:51,gniazdo linki zabezpieczającej:Tak:52,procesor:Intel Core i3-1115G4:53,pamięć ram (zainstalowana):8 GB:54,dysk ssd m.2:Brak:55,napędy:Brak:56,rodzaj ekranu:Bez ekranu dotykowego:57,złącze d-sub:Brak:58,częstotliwość pamięci:3200 MHz:59;0;new;0;0;0;0;Laptop_Lenovo_V15_G2_(82KB016JPB)
55;1;Laptop Lenovo IdeaPad 3 15ALC6 (82KU00W1PB);Laptopy;2099;1;0;10;Podsumowanie;Opis;W magazynie;1;https://images.morele.net/i300/9612895_5_i300.jpg;1;częstotliwość pamięci:3200 MHz:1,przekątna ekranu:15.6":2,usb 3.0:1:3,bluetooth:Tak:4,złącza audio:1:5,pojemność akumulatora:38 Wh:6,liczba rdzeni / wątków:6/12:7,zintegrowany układ graficzny:AMD Radeon RX Vega 7:8,rozdzielczość:1920 x 1080 (Full HD):9,złącze displayport:Brak:10,złącze d-sub:Brak:11,modem internetowy:Nie:12,rodzaj ekranu:Bez ekranu dotykowego:13,wifi:802.11ac (gen. 5):14,wysokość [cm]:1.99:15,rodzina procesora:AMD Ryzen:16,typ pamięci ram:DDR4:17,powłoka matrycy:Matowa:18,thunderbolt:Brak:19,usb-c:1:20,gniazdo linki zabezpieczającej:Nie:21,głębokość [cm]:23.6:22,typ:Laptop:23,procesor:AMD Ryzen 5 5500U:24,taktowanie procesora (bazowe/turbo):2.1 GHz / 4 GHz:25,dodatkowe urządzenia wskazujące:Brak:26,podświetlana klawiatura:Nie:27,dysk ssd:Brak:28,producent:Lenovo:29,ilość gniazd pamięci (ogółem/wolne):2/0:30,dysk ssd m.2 pcie:512 GB:31,złącze hdmi:Pełnowymiarowe:32,czas pracy na baterii:7.5 h:33,kamera:Tak:34,pamięć ram (zainstalowana):8 GB:35,usb 2.0:1:36,szyfrowanie tpm:Tak:37,szerokość [cm]:35.9:38,zastosowanie:Multimedialne:39,kolor:Szary:40,pamięć ram (maksymalna):12 GB:41,typ pamięci:Nie dotyczy:42,ean:0195891495322:43,dedykowany układ graficzny:Brak:44,rozpoznawanie twarzy:Nie:45,kod producenta:82KU00W1PB:46,dysk hdd:Brak:47,karta sieciowa:Nie:48,waga [kg]:1.65:49,napędy:Brak:50,czytnik kart pamięci:Tak:51,wersja językowa:Brak:52,klawiatura:Pełnowymiarowa Wyspowa:53,czytnik linii papilarnych:Nie:54,częstotliwość odświeżania:60 Hz:55,system operacyjny:Brak:56,dysk ssd m.2:Brak:57,pamięć karty graficznej:Współdzielona z RAM:58,typ matrycy:IPS:59;0;new;0;0;0;0;Laptop_Lenovo_IdeaPad_3_15ALC6_(82KU00W1PB)
56;1;Laptop HP 15s-fq4489nw (685A6EA);Laptopy;2566.99;1;0;10;Podsumowanie;Opis;W magazynie;1;https://images.morele.net/i300/11218744_0_i300.jpg;1;klawiatura:Pełnowymiarowa Wyspowa:1,kolor:Złoty:2,usb-c:1:3,czytnik kart pamięci:Tak:4,bluetooth:Tak:5,rodzina procesora:Intel Core i5:6,rozdzielczość:1920 x 1080 (Full HD):7,częstotliwość odświeżania:60 Hz:8,typ matrycy:IPS:9,złącze hdmi:Pełnowymiarowe:10,złącza audio:1:11,dodatkowe urządzenia wskazujące:Brak:12,rozpoznawanie twarzy:Nie:13,typ pamięci ram:DDR4:14,powłoka matrycy:Matowa:15,rodzaj ekranu:Bez ekranu dotykowego:16,procesor:Intel Core i5-1155G7:17,pamięć ram (maksymalna):32 GB:18,usb 2.0:Brak:19,pamięć karty graficznej:Współdzielona z RAM:20,podświetlana klawiatura:Nie:21,kod producenta:685A6EA:22,taktowanie procesora (bazowe/turbo):2.5 GHz / 4.5 GHz:23,napędy:Brak:24,ean::25,liczba rdzeni / wątków:4/8:26,szerokość [cm]:35.8:27,modem internetowy:Nie:28,wifi:802.11ac (gen. 5):29,pojemność akumulatora:41 Wh:30,typ:Laptop:31,dysk ssd m.2:Brak:32,dedykowany układ graficzny:Brak:33,czas pracy na baterii:9.5 h:34,waga [kg]:1.69:35,zastosowanie:Multimedialne:36,dysk hdd:Brak:37,zintegrowany układ graficzny:Intel Iris Xe:38,szyfrowanie tpm:Tak:39,gniazdo linki zabezpieczającej:Nie:40,głębokość [cm]:24.2:41,producent:HP:42,dysk ssd:Brak:43,karta sieciowa:Nie:44,przekątna ekranu:15.6":45,wersja językowa:polska:46,thunderbolt:Brak:47,pamięć ram (zainstalowana):8 GB:48,częstotliwość pamięci:3200 MHz:49,złącze displayport:Brak:50,kamera:Tak:51,wysokość [cm]:1.79:52,czytnik linii papilarnych:Nie:53,system operacyjny:Windows 11 Home:54,usb 3.0:2:55,dysk ssd m.2 pcie:512 GB:56,typ pamięci:Nie dotyczy:57,złącze d-sub:Brak:58,ilość gniazd pamięci (ogółem/wolne):2/0:59;0;new;0;0;0;0;Laptop_HP_15s-fq4489nw_(685A6EA)
57;1;Laptop HP 250 G9 (6F200EA);Laptopy;2299;1;0;10;Podsumowanie;Opis;W magazynie;1;https://images.morele.net/i300/11202027_0_i300.jpg;1;procesor:Intel Core i3-1215U:1,klawiatura:Pełnowymiarowa Wyspowa:2,układ klawiatury:QWERTY polski programisty:3,podświetlana klawiatura:Nie:4,rozpoznawanie twarzy:Nie:5,dysk ssd:Brak:6,wifi:802.11ac (gen. 5):7,pojemność akumulatora:41 Wh:8,typ pamięci ram:DDR4:9,częstotliwość pamięci:3200 MHz:10,kamera:Tak:11,pamięć ram (zainstalowana):8 GB:12,typ matrycy:SVA:13,złącze displayport:Brak:14,rozdzielczość:1920 x 1080 (Full HD):15,złącze hdmi:Pełnowymiarowe:16,thunderbolt:Brak:17,usb-c:1:18,karta sieciowa:1 Gb/s:19,dodatkowe urządzenia wskazujące:Brak:20,zastosowanie:Biznesowe:21,rodzina procesora:Intel Core i3:22,częstotliwość odświeżania:60 Hz:23,szyfrowanie tpm:Tak:24,wysokość [cm]:1.99:25,czytnik kart pamięci:Tak:26,czytnik linii papilarnych:Nie:27,waga [kg]:1.74:28,rodzaj ekranu:Bez ekranu dotykowego:29,złącze d-sub:Brak:30,usb 3.0:2:31,szerokość [cm]:35.8:32,kolor:Czarny:33,przekątna ekranu:15.6":34,powłoka matrycy:Matowa:35,liczba rdzeni / wątków:6/8:36,dysk ssd m.2 pcie:256 GB:37,głębokość [cm]:24.2:38,pamięć ram (maksymalna):32 GB:39,pamięć karty graficznej:Współdzielona z RAM:40,dysk hdd:Brak:41,zintegrowany układ graficzny:Intel UHD Graphics:42,system operacyjny:Windows 11 Home:43,dysk ssd m.2:Brak:44,modem internetowy:Nie:45,napędy:Brak:46,złącza audio:1:47,bluetooth:Tak:48,czas pracy na baterii:Brak danych:49,wersja językowa:polska:50,kod producenta:6F200EA#AKD:51,ean::52,taktowanie procesora (bazowe/turbo):0.9 GHz / 4.4 GHz:53,gniazdo linki zabezpieczającej:Tak:54,typ:Laptop:55,dedykowany układ graficzny:Brak:56,usb 2.0:Brak:57,producent:HP:58,ilość gniazd pamięci (ogółem/wolne):2/1:59,typ pamięci:Nie dotyczy:60;0;new;0;0;0;0;Laptop_HP_250_G9_(6F200EA)
58;1;Laptop Lenovo IdeaPad 5 15ALC05 (82LN00HMPB);Laptopy;2349;1;0;10;Podsumowanie;Opis;W magazynie;1;https://images.morele.net/i300/9906893_0_i300.jpg;1;taktowanie procesora (bazowe/turbo):2.1 GHz / 4 GHz:1,dysk ssd m.2 pcie:512 GB:2,wersja językowa:Brak:3,kamera:Tak:4,rodzina procesora:AMD Ryzen:5,usb 3.0:2:6,system operacyjny:Brak:7,czytnik linii papilarnych:Tak:8,częstotliwość pamięci:3200 MHz:9,typ pamięci:Nie dotyczy:10,usb-c:1:11,czytnik kart pamięci:Tak:12,klawiatura:Pełnowymiarowa Wyspowa:13,ean::14,modem internetowy:Nie:15,bluetooth:Tak:16,szerokość [cm]:35.6:17,powłoka matrycy:Matowa:18,częstotliwość odświeżania:60 Hz:19,zastosowanie:Multimedialne:20,pamięć karty graficznej:Współdzielona z RAM:21,przekątna ekranu:15.6":22,złącze displayport:Brak:23,procesor:AMD Ryzen 5 5500U:24,pamięć ram (zainstalowana):8 GB:25,zintegrowany układ graficzny:AMD Radeon Graphics:26,rozdzielczość:1920 x 1080 (Full HD):27,thunderbolt:Brak:28,dodatkowe urządzenia wskazujące:Brak:29,szyfrowanie tpm:Tak:30,gniazdo linki zabezpieczającej:Nie:31,kod producenta:82LN00HMPB:32,liczba rdzeni / wątków:6/12:33,typ pamięci ram:DDR4:34,producent:Lenovo:35,złącze d-sub:Brak:36,pojemność akumulatora:57 Wh:37,podświetlana klawiatura:Tak:38,waga [kg]:1.66:39,napędy:Brak:40,dedykowany układ graficzny:Brak:41,typ:Laptop:42,karta sieciowa:Nie:43,wifi:802.11ac (gen. 5):44,czas pracy na baterii:8 h:45,wysokość [cm]:1.79 - 1.99:46,pamięć ram (maksymalna):8 GB:47,typ matrycy:IPS:48,rodzaj ekranu:Bez ekranu dotykowego:49,ilość gniazd pamięci (ogółem/wolne):0/0:50,dysk ssd:Brak:51,złącze hdmi:Pełnowymiarowe:52,złącza audio:1:53,głębokość [cm]:23.3:54,kolor:Szary:55,dysk ssd m.2:Brak:56,dysk hdd:Brak:57,usb 2.0:Brak:58,rozpoznawanie twarzy:Nie:59;0;new;0;0;0;0;Laptop_Lenovo_IdeaPad_5_15ALC05_(82LN00HMPB)
59;1;Laptop Dell Vostro 3510 (N8803VN3510EMEA01_N1);Laptopy;3299;1;0;10;Podsumowanie;Opis;W magazynie;1;https://images.morele.net/i300/10190653_4_i300.jpg;1;modem internetowy:Nie:1,wersja językowa:polska:2,napędy:Brak:3,usb 3.0:2:4,przekątna ekranu:15.6":5,podświetlana klawiatura:Tak:6,taktowanie procesora (bazowe/turbo):2.4 GHz / 4.2 GHz:7,zintegrowany układ graficzny:Intel Iris Xe:8,typ pamięci:Nie dotyczy:9,złącze hdmi:Pełnowymiarowe:10,szerokość [cm]:35.9:11,kolor:Czarny:12,dysk ssd m.2 pcie:256 GB:13,system operacyjny:Windows 11 Pro:14,powłoka matrycy:Matowa:15,czytnik linii papilarnych:Tak:16,pojemność akumulatora:41 Wh:17,rodzina procesora:Intel Core i5:18,pamięć karty graficznej:Współdzielona z RAM:19,zastosowanie:Biznesowe:20,częstotliwość odświeżania:60 Hz:21,złącze displayport:Brak:22,złącze d-sub:Brak:23,kod producenta:N8803VN3510EMEA01_N1:24,ean:5902002167369:25,dysk ssd m.2:Brak:26,usb 2.0:1:27,pamięć ram (zainstalowana):8 GB:28,dysk hdd:Brak:29,usb-c:Brak:30,wifi:802.11ax (gen. 6):31,czas pracy na baterii:8 h:32,wysokość [cm]:1.89:33,producent:Dell:34,typ:Laptop:35,dodatkowe urządzenia wskazujące:Brak:36,procesor:Intel Core i5-1135G7:37,rozdzielczość:1920 x 1080 (Full HD):38,klawiatura:Pełnowymiarowa Wyspowa:39,ilość gniazd pamięci (ogółem/wolne):2/1:40,złącza audio:1:41,typ matrycy:VA:42,kamera:Tak:43,rozpoznawanie twarzy:Nie:44,częstotliwość pamięci:2666 MHz:45,rodzaj ekranu:Bez ekranu dotykowego:46,dedykowany układ graficzny:Brak:47,czytnik kart pamięci:Tak:48,liczba rdzeni / wątków:4/8:49,pamięć ram (maksymalna):32 GB:50,typ pamięci ram:DDR4:51,thunderbolt:Brak:52,głębokość [cm]:23.6:53,dysk ssd:Brak:54,karta sieciowa:1 Gb/s:55,gniazdo linki zabezpieczającej:Tak:56,waga [kg]:1.69:57,bluetooth:Tak:58,szyfrowanie tpm:Tak:59;0;new;0;0;0;0;Laptop_Dell_Vostro_3510_(N8803VN3510EMEA01_N1)
